Sample Time [ns],Sensor Type,val1,val2,val3
92312077478206,1,-2.7636719,-9.28125,0.6245117
92312033399361,2,197.25,0.2998047,-312.25
92312028530592,3,-0.58496094,-1.5009766,-0.58203125
92312087378206,1,-2.7089844,-9.4140625,0.29907227
92312043399361,2,197.875,0.2998047,-310.5
92312038530592,3,-0.7236328,-1.5517578,-0.6020508
92312097278206,1,-2.6679688,-9.390625,0.14123535
92312053399361,2,198.375,-0.2998047,-311.25
92312048530592,3,-0.8935547,-1.5908203,-0.5991211
92312107178206,1,-2.6972656,-9.3359375,0.04309082
92312063399361,2,198.375,-0.2998047,-311.25
92312058530592,3,-0.98535156,-1.5917969,-0.5649414
92312117078206,1,-2.7578125,-9.515625,-0.16516113
92312073399361,2,199.5,-0.2998047,-312
92312068530592,3,-0.97753906,-1.5791016,-0.56152344
92312126978206,1,-2.7167969,-9.7890625,-0.4091797
92312083399361,2,199.5,-0.2998047,-312
92312078530592,3,-0.8598633,-1.5585938,-0.5541992
92312136878206,1,-2.7617188,-9.8046875,-0.58154297
92312093399361,2,197.75,0.5996094,-310.75
92312088530592,3,-0.6489258,-1.5302734,-0.5209961
92312146778206,1,-2.8066406,-9.7421875,-0.69384766
92312103399361,2,197.75,0.5996094,-310.75
92312098530592,3,-0.4074707,-1.5009766,-0.50097656
92312156678206,1,-2.8691406,-9.6484375,-0.89501953
92312113399361,2,198.25,0,-310.5
92312108530592,3,-0.20751953,-1.4707031,-0.4819336
92312166578206,1,-2.8789062,-9.6796875,-1.2353516
92312123399361,2,198.25,0,-310.5
92312118530592,3,-0.01914978,-1.4443359,-0.45654297
92312176478206,1,-2.8164062,-9.78125,-1.3691406
92312133399361,2,199,0.5996094,-311.5
92312128530592,3,0.15209961,-1.4355469,-0.4416504
92312186378206,1,-2.8222656,-9.6953125,-1.3212891
92312143399361,2,199.25,0.2998047,-312.75
92312138530592,3,0.27661133,-1.4160156,-0.42773438
92312196278206,1,-2.9394531,-9.4453125,-1.4072266
92312153399361,2,199.25,0.2998047,-312.75
92312148530592,3,0.31176758,-1.3994141,-0.42236328
92312206178206,1,-2.9394531,-9.0625,-1.5195312
92312163399361,2,200,1.5,-312.75
92312158530592,3,0.22766113,-1.4150391,-0.42236328
92312216078206,1,-2.9082031,-9.0859375,-1.5029297
92312173399361,2,200,1.5,-312.75
92312168530592,3,0.058502197,-1.4345703,-0.42993164
92312225978206,1,-2.8769531,-9.40625,-1.5458984
92312183399361,2,199.125,0.5996094,-314.25
92312178530592,3,-0.12976074,-1.4638672,-0.43725586
92312235878206,1,-2.7460938,-9.515625,-1.6582031
92312193399361,2,199.125,0.5996094,-314.25
92312188530592,3,-0.24902344,-1.4980469,-0.44262695
92312245778206,1,-2.5898438,-9.2421875,-1.7207031
92312203399361,2,199,1.5,-315.25
92312198530592,3,-0.34472656,-1.5214844,-0.44482422
92312255678206,1,-2.5449219,-8.875,-1.6445312
92312213399361,2,199,1.5,-315.25
92312208530592,3,-0.48510742,-1.5341797,-0.43408203
92312265578206,1,-2.4960938,-8.7734375,-1.9960938
92312223399361,2,200.5,1.7998047,-313.75
92312218530592,3,-0.6245117,-1.5244141,-0.41503906
92312275478206,1,-2.4394531,-9.1328125,-2.1074219
92312233399361,2,200.5,0.89990234,-315.5
92312228530592,3,-0.68408203,-1.5039062,-0.4020996
92312285378206,1,-2.4023438,-9.234375,-1.859375
92312243399361,2,200.5,0.89990234,-315.5
92312238530592,3,-0.6958008,-1.4853516,-0.38720703
92312295278206,1,-2.3515625,-9.3203125,-1.9052734
92312253399361,2,201.5,1.7998047,-315.5
92312248530592,3,-0.6328125,-1.4453125,-0.36694336
92312305178206,1,-2.265625,-9.359375,-1.8525391
92312263399361,2,201.5,1.7998047,-315.5
92312258530592,3,-0.5576172,-1.4228516,-0.3618164
92312315078206,1,-2.2285156,-9.2890625,-1.6660156
92312273399361,2,200.5,0.89990234,-315
92312268530592,3,-0.46069336,-1.4160156,-0.35009766
92312324978206,1,-2.265625,-9.296875,-1.5771484
92312283399361,2,200.5,0.89990234,-315
92312278530592,3,-0.35205078,-1.4082031,-0.33081055
92312334878206,1,-2.1796875,-9.171875,-1.3525391
92312293399361,2,201.375,2.0996094,-314.5
92312288530592,3,-0.28710938,-1.4189453,-0.33398438
92312344778206,1,-2,-8.953125,-1.1894531
92312303399361,2,201.375,2.0996094,-314.5
92312298530592,3,-0.27441406,-1.4316406,-0.33203125
92312354678206,1,-1.8789062,-9.0234375,-1.1367188
92312313399361,2,201.75,1.5,-315.25
92312308530592,3,-0.31176758,-1.4423828,-0.3244629
92312364578206,1,-1.8212891,-8.96875,-1.1611328
92312323399361,2,201.875,0.5996094,-315.5
92312318530592,3,-0.39160156,-1.4511719,-0.31274414
92312374478206,1,-1.8642578,-8.9765625,-1.3544922
92312333399361,2,201.875,0.5996094,-315.5
92312328530592,3,-0.44262695,-1.4355469,-0.28198242
92312384378206,1,-1.9462891,-8.9765625,-1.1699219
92312343399361,2,201.375,0,-317
92312338530592,3,-0.5341797,-1.4287109,-0.26489258
92312394278206,1,-1.9697266,-9.1328125,-1.1962891
92312353399361,2,201.375,0,-317
92312348530592,3,-0.5991211,-1.4189453,-0.23620605
92312404178206,1,-2.1035156,-9.453125,-1.2060547
92312363399361,2,201.75,0.2998047,-317
92312358530592,3,-0.56933594,-1.4033203,-0.21069336
92312414078206,1,-2.1875,-9.5390625,-1.3183594
92312373399361,2,201.75,0.2998047,-317
92312368530592,3,-0.47143555,-1.3886719,-0.18835449
92312423978206,1,-2.2558594,-9.53125,-1.4550781
92312383399361,2,203.5,0.5996094,-318.25
92312378530592,3,-0.33398438,-1.359375,-0.16699219
92312433878206,1,-2.265625,-9.59375,-1.7949219
92312393399361,2,203.5,0.5996094,-318.25
92312388530592,3,-0.21386719,-1.3339844,-0.15002441
92312443778206,1,-2.2128906,-9.6953125,-1.9511719
92312403399361,2,201.875,0.89990234,-315.5
92312398530592,3,-0.10321045,-1.3046875,-0.1340332
92312453678206,1,-2.2519531,-9.609375,-1.8623047
92312413399361,2,201.875,0.89990234,-315.5
92312408530592,3,-0.023406982,-1.265625,-0.121276855
92312463578206,1,-2.3046875,-9.5234375,-1.9628906
92312423399361,2,203.5,0.2998047,-315.25
92312418530592,3,-0.02659607,-1.2226562,-0.123413086
92312473478206,1,-2.3183594,-9.53125,-2.0703125
92312433399361,2,203.125,1.7998047,-315.75
92312428530592,3,-0.11065674,-1.1875,-0.14147949
92312483378206,1,-2.3457031,-9.5859375,-2.0078125
92312443399361,2,203.125,1.7998047,-315.75
92312438530592,3,-0.2319336,-1.1796875,-0.15002441
92312493278206,1,-2.3261719,-9.5234375,-2.0722656
92312453399361,2,203.625,0.89990234,-319
92312448530592,3,-0.41503906,-1.1699219,-0.16918945
92312503178206,1,-2.2695312,-9.625,-2.2539062
92312463399361,2,203.625,0.89990234,-319
92312458530592,3,-0.6118164,-1.1630859,-0.18835449
92312513078206,1,-2.2695312,-9.625,-2.2539062
92312473399361,2,204.5,0.5996094,-316.5
92312468530592,3,-0.72753906,-1.1591797,-0.1829834
92312522978206,1,-2.078125,-9.609375,-2.3046875
92312483399361,2,204.5,0.5996094,-316.5
92312478530592,3,-0.7084961,-1.1533203,-0.17663574
92312532878206,1,-1.9697266,-9.4140625,-2.2070312
92312493399361,2,203.625,0.89990234,-319
92312488530592,3,-0.60302734,-1.125,-0.17016602
92312542778206,1,-2.0253906,-9.625,-2.25
92312503399361,2,203.625,0.89990234,-319
92312498530592,3,-0.60302734,-1.125,-0.17016602
92312552678206,1,-2.0507812,-9.6640625,-2.3457031
92312513399361,2,204.5,0.89990234,-317.5
92312508530592,3,-0.5019531,-1.0976562,-0.16699219
92312562578206,1,-2.0078125,-9.3046875,-2.2011719
92312523399361,2,204.125,0.2998047,-317.5
92312518530592,3,-0.42871094,-1.0595703,-0.15100098
92312572478206,1,-1.9580078,-9.0703125,-2.1679688
92312533399361,2,204.125,0.2998047,-317.5
92312528530592,3,-0.44262695,-1.0244141,-0.14685059
92312582378206,1,-1.8740234,-9.3125,-2.203125
92312543399361,2,204,0,-318
92312538530592,3,-0.5019531,-1.0087891,-0.13513184
92312592278206,1,-1.8310547,-9.46875,-1.9384766
92312553399361,2,204,0,-318
92312548530592,3,-0.5253906,-1.0136719,-0.13195801
92312602178206,1,-1.7851562,-9.3984375,-1.6445312
92312563399361,2,204.25,0.5996094,-319
92312558530592,3,-0.51904297,-1.0410156,-0.14782715
92312612078206,1,-1.8242188,-9.6484375,-1.5126953
92312573399361,2,204.25,0.5996094,-319
92312568530592,3,-0.51171875,-1.0820312,-0.16809082
92312621978206,1,-1.9365234,-9.953125,-1.2998047
92312583399361,2,203.75,0.2998047,-319.5
92312578530592,3,-0.48828125,-1.1367188,-0.18835449
92312631878206,1,-2.015625,-9.859375,-1.0693359
92312593399361,2,203.75,0.2998047,-319.5
92312588530592,3,-0.44482422,-1.1787109,-0.21166992
92312641778206,1,-2.0175781,-9.765625,-1.2685547
92312603399361,2,205.75,0.2998047,-319
92312598530592,3,-0.4116211,-1.1933594,-0.24365234
92312651678206,1,-2.0039062,-9.734375,-1.5556641
92312613399361,2,204.625,0.5996094,-317.25
92312608530592,3,-0.3894043,-1.1982422,-0.24365234
92312661578206,1,-2.0703125,-9.7421875,-1.6777344
92312623399361,2,204.625,0.5996094,-317.25
92312618530592,3,-0.3137207,-1.1865234,-0.22021484
92312671478206,1,-2.2695312,-9.9765625,-1.6083984
92312633399361,2,204.875,1.1992188,-320
92312628530592,3,-0.2010498,-1.1552734,-0.20007324
92312681378206,1,-2.4082031,-10.09375,-1.5341797
92312643399361,2,204.875,1.1992188,-320
92312638530592,3,-0.08190918,-1.1132812,-0.18408203
92312691278206,1,-2.3671875,-9.984375,-1.4697266
92312653399361,2,206.75,0.2998047,-319.75
92312648530592,3,0.07232666,-1.0771484,-0.17443848
92312701178206,1,-2.3554688,-10.03125,-1.3759766
92312663399361,2,206.75,0.2998047,-319.75
92312658530592,3,0.20959473,-1.0585938,-0.1776123
92312711078206,1,-2.4355469,-10.0078125,-1.2919922
92312673399361,2,205.75,0.89990234,-320.25
92312668530592,3,0.2734375,-1.0478516,-0.19580078
92312720978206,1,-2.3789062,-10.03125,-1.3212891
92312683399361,2,205.75,0.89990234,-320.25
92312678530592,3,0.2788086,-1.0410156,-0.22131348
92312730878206,1,-2.25,-9.7890625,-1.1416016
92312693399361,2,205.125,1.1992188,-320.5
92312688530592,3,0.16064453,-1.0566406,-0.2479248
92312740778206,1,-2.2089844,-9.390625,-0.8881836
92312703399361,2,206.5,0.89990234,-320
92312698530592,3,-0.19677734,-1.0917969,-0.29467773
92312750678206,1,-2.1855469,-9.4140625,-0.7084961
92312713399361,2,206.5,0.89990234,-320
92312708530592,3,-0.72558594,-1.1689453,-0.34472656
92312760578206,1,-1.9550781,-9.40625,-0.48120117
92312723399361,2,207.125,0.89990234,-321
92312718530592,3,-1.2177734,-1.296875,-0.3713379
92312770478206,1,-1.7685547,-9.6171875,-0.31835938
92312733399361,2,207.125,0.89990234,-321
92312728530592,3,-1.4570312,-1.4160156,-0.3894043
92312780378206,1,-1.7070312,-9.9375,-0.30151367
92312743399361,2,205.75,0.89990234,-320.25
92312738530592,3,-1.4345703,-1.5351562,-0.40966797
92312790278206,1,-1.6181641,-10.046875,-0.63671875
92312753399361,2,205.75,0.89990234,-320.25
92312748530592,3,-1.2080078,-1.6230469,-0.4309082
92312800178206,1,-1.5751953,-9.90625,-1.2441406
92312763399361,2,205.375,0.5996094,-319
92312758530592,3,-0.9140625,-1.6552734,-0.4416504
92312810078206,1,-1.7900391,-9.7265625,-1.7548828
92312773399361,2,205.375,0.5996094,-319
92312768530592,3,-0.6660156,-1.6455078,-0.42236328
92312819978206,1,-1.9990234,-9.546875,-2.2109375
92312783399361,2,206.75,0.5996094,-319.75
92312778530592,3,-0.49145508,-1.6054688,-0.40649414
92312829878206,1,-2.1328125,-9.5546875,-2.6757812
92312793399361,2,205.5,1.1992188,-320.5
92312788530592,3,-0.33618164,-1.5390625,-0.37451172
92312839778206,1,-2.3398438,-9.5859375,-2.9707031
92312803399361,2,205.5,1.1992188,-320.5
92312798530592,3,-0.2010498,-1.4648438,-0.3479004
92312849678206,1,-2.5507812,-9.6484375,-3.1933594
92312813399361,2,206.5,2.0996094,-321.75
92312808530592,3,-0.11383057,-1.3955078,-0.34155273
92312859578206,1,-2.6269531,-9.734375,-3.4472656
92312823399361,2,206.5,2.0996094,-321.75
92312818530592,3,-0.08404541,-1.3398438,-0.35742188
92312869478206,1,-2.6738281,-9.7890625,-3.7753906
92312833399361,2,206,1.7998047,-323.25
92312828530592,3,-0.10638428,-1.2880859,-0.37548828
92312879378206,1,-2.6152344,-9.46875,-4.265625
92312843399361,2,206,1.7998047,-323.25
92312838530592,3,-0.1595459,-1.2167969,-0.38085938
92312889278206,1,-2.4042969,-9.1328125,-4.7617188
92312853399361,2,207.125,1.5,-322.75
92312848530592,3,-0.21813965,-1.1328125,-0.3798828
92312899378206,1,-2.203125,-8.921875,-5.1953125
92312863499361,2,207.125,1.5,-322.75
92312858630592,3,-0.2680664,-1.0458984,-0.36279297
92312909478206,1,-1.9960938,-8.6171875,-5.6953125
92312873599361,2,206.75,1.1992188,-323.25
92312868730592,3,-0.2541504,-0.9277344,-0.32983398
92312919578206,1,-1.8574219,-8.28125,-6.203125
92312883699361,2,206.375,2.6992188,-324
92312878830592,3,-0.19360352,-0.77783203,-0.2788086
92312929678206,1,-1.8837891,-8.1640625,-6.328125
92312893799361,2,206.375,2.6992188,-324
92312888930592,3,-0.08618164,-0.61816406,-0.2084961
92312939778206,1,-1.9365234,-8.015625,-6.375
92312903899361,2,206.25,1.5,-323.5
92312899030592,3,0.05319214,-0.44360352,-0.1340332
92312949878206,1,-1.9414062,-7.9179688,-6.1953125
92312913999361,2,206.25,1.5,-323.5
92312909130592,3,0.22131348,-0.2788086,-0.0680542
92312959978206,1,-1.9003906,-8.1484375,-5.9453125
92312924099361,2,205.75,2.0996094,-323.25
92312919230592,3,0.46166992,-0.14355469,-0.0031909943
92312970078206,1,-1.8789062,-8.3125,-5.7695312
92312934199361,2,205.75,2.0996094,-323.25
92312929330592,3,0.6894531,-0.031921387,0.021270752
92312980178206,1,-1.8359375,-8.21875,-5.6640625
92312944299361,2,206.75,2.0996094,-324.5
92312939430592,3,0.8286133,0.08618164,0.032989502
92312990278206,1,-1.6894531,-8.1015625,-5.5390625
92312954399361,2,206.75,2.0996094,-324.5
92312949530592,3,0.84033203,0.18835449,0.052124023
92313000378206,1,-1.5126953,-8.21875,-5.2929688
92312964499361,2,205.875,3,-324.25
92312959630592,3,0.71728516,0.28393555,0.07342529
92313010478206,1,-1.4667969,-8.0859375,-4.6835938
92312974599361,2,205.875,3,-324.25
92312969730592,3,0.50097656,0.35107422,0.09680176
92313020578206,1,-1.4101562,-8.2265625,-4.0546875
92312984699361,2,206.5,2.0996094,-325.5
92312979830592,3,0.3010254,0.39575195,0.1149292
92313030678206,1,-1.3164062,-8.5546875,-3.4746094
92312994799361,2,207.125,2.0996094,-324
92312989930592,3,0.10748291,0.41064453,0.12023926
92313040778206,1,-1.0839844,-8.7890625,-3.1230469
92313004899361,2,207.125,2.0996094,-324
92313000030592,3,-0.035095215,0.39672852,0.11383057
92313050878206,1,-0.8925781,-8.8125,-2.9804688
92313014999361,2,206,2.0996094,-324.5
92313010130592,3,-0.11383057,0.38183594,0.11065674
92313060978206,1,-0.9765625,-8.75,-2.9316406
92313025099361,2,206,2.0996094,-324.5
92313020230592,3,-0.14355469,0.39672852,0.13293457
92313071078206,1,-1.125,-8.71875,-3.0683594
92313035199361,2,205.875,3,-324.25
92313030330592,3,-0.12451172,0.43823242,0.17553711
92313081178206,1,-1.2753906,-9.0625,-3.3164062
92313045299361,2,205.875,3,-324.25
92313040430592,3,-0.02659607,0.49365234,0.21813965
92313091278206,1,-1.6328125,-9.3671875,-3.2363281
92313055399361,2,206.375,2.6992188,-321.5
92313050530592,3,0.123413086,0.55615234,0.2722168
92313101378206,1,-2.0429688,-9.46875,-2.8964844
92313065499361,2,206.375,2.6992188,-321.5
92313060630592,3,0.31274414,0.6328125,0.31811523
92313111478206,1,-2.2109375,-10.0859375,-2.7792969
92313075599361,2,206.25,2.6992188,-323.5
92313070730592,3,0.47558594,0.68603516,0.3137207
92313121578206,1,-2.1992188,-10.46875,-2.5273438
92313085699361,2,205.875,1.5,-323.5
92313080830592,3,0.57666016,0.6850586,0.28393555
92313131678206,1,-2.1542969,-10.21875,-2.2773438
92313095799361,2,205.875,1.5,-323.5
92313090930592,3,0.62353516,0.6958008,0.23510742
92313141778206,1,-2.1015625,-9.8359375,-2.2949219
92313105899361,2,205.875,1.7998047,-323.5
92313101030592,3,0.4946289,0.7246094,0.17553711
92313151878206,1,-1.9365234,-9.5,-2.4960938
92313115999361,2,205.875,1.7998047,-323.5
92313111130592,3,0.23083496,0.7416992,0.14892578
92313161978206,1,-1.6582031,-9.03125,-2.78125
92313126099361,2,207.125,1.5,-325
92313121230592,3,0.032989502,0.77978516,0.15429688
92313172078206,1,-1.3974609,-8.7578125,-3.2597656
92313136199361,2,207.125,1.5,-325
92313131330592,3,-0.021270752,0.8725586,0.16064453
92313182178206,1,-1.5986328,-10.40625,-3.0429688
92313146299361,2,207.375,1.1992188,-323.25
92313141430592,3,0.1361084,0.9160156,0.15429688
92313192278206,1,-1.9960938,-10.90625,-2.1367188
92313156399361,2,207.375,1.1992188,-323.25
92313151530592,3,0.30859375,0.86376953,0.13195801
92313202378206,1,-2.0253906,-10.0703125,-1.6777344
92313166499361,2,206.25,1.7998047,-323
92313161630592,3,0.5488281,0.8779297,0.0925293
92313212478206,1,-2.0253906,-9.5625,-1.7207031
92313176599361,2,206.375,2.0996094,-325
92313171730592,3,0.57666016,0.890625,0.056396484
92313222578206,1,-1.7734375,-9.6796875,-1.8623047
92313186699361,2,206.375,2.0996094,-325
92313181830592,3,0.4074707,0.83496094,0.046813965
92313232678206,1,-1.6181641,-9.765625,-1.7373047
92313196799361,2,206.375,2.0996094,-322
92313191930592,3,0.23620605,0.8183594,0.04574585
92313242778206,1,-1.6396484,-9.296875,-1.8935547
92313206899361,2,206.375,2.0996094,-322
92313202030592,3,0.109558105,0.84472656,0.05105591
92313252878206,1,-1.6542969,-8.546875,-2.5273438
92313216999361,2,205.5,1.1992188,-323
92313212130592,3,-0.0340271,0.9042969,0.08935547
92313262978206,1,-1.6347656,-8.0625,-4.2734375
92313227099361,2,205.5,1.1992188,-323
92313222230592,3,-0.121276855,1.0517578,0.1850586
92313273078206,1,-2.0625,-9.3671875,-3.8339844
92313237199361,2,206.5,1.1992188,-321.75
92313232330592,3,-0.041503906,1.2119141,0.2861328
92313283178206,1,-2.8339844,-10.484375,-2.6132812
92313247299361,2,206.5,1.1992188,-321.75
92313242430592,3,0.16699219,1.2910156,0.32128906
92313293278206,1,-2.8984375,-11.3828125,-2.5253906
92313257399361,2,205.375,2.0996094,-321.5
92313252530592,3,0.72558594,1.3125,0.28295898
92313303378206,1,-2.8984375,-11.3828125,-2.5253906
92313267499361,2,205.125,1.5,-323
92313262630592,3,1.2763672,1.3320312,0.21166992
92313313478206,1,-2.453125,-10.7578125,-2.8789062
92313277599361,2,205.125,1.5,-323
92313272730592,3,1.5273438,1.3701172,0.16699219
92313323578206,1,-2.0839844,-9.3515625,-3.2832031
92313287699361,2,205.375,2.3984375,-323.25
92313282830592,3,1.3291016,1.4492188,0.16064453
92313333678206,1,-1.9892578,-8.1484375,-3.46875
92313297799361,2,205.375,2.3984375,-323.25
92313292930592,3,1.3291016,1.4492188,0.16064453
92313343778206,1,-2.3027344,-7.8945312,-2.3261719
92313307899361,2,205.125,1.5,-323
92313303030592,3,0.8881836,1.5537109,0.19677734
92313353878206,1,-2.6582031,-8.328125,-1.5292969
92313317999361,2,205.125,1.5,-323
92313313130592,3,0.5029297,1.5712891,0.22766113
92313363978206,1,-2.4121094,-9.25,-1.3574219
92313328099361,2,205.875,1.1992188,-321.25
92313323230592,3,0.46484375,1.4951172,0.23400879
92313374078206,1,-2.2207031,-9.5546875,-1.296875
92313338199361,2,205.875,1.1992188,-321.25
92313333330592,3,0.63623047,1.4521484,0.23400879
92313384178206,1,-2.15625,-9.4375,-1.7089844
92313348299361,2,205.75,1.5,-322.75
92313343430592,3,0.8300781,1.4316406,0.22021484
92313394278206,1,-1.8476562,-9.21875,-2.0273438
92313358399361,2,204.625,0.89990234,-322
92313353530592,3,0.8989258,1.4179688,0.2084961
92313404378206,1,-1.6611328,-8.7734375,-2.0332031
92313368499361,2,204.625,0.89990234,-322
92313363630592,3,0.8417969,1.4667969,0.22241211
92313414478206,1,-1.7587891,-8.90625,-1.6992188
92313378599361,2,205.125,2.3984375,-323
92313373730592,3,0.70214844,1.46875,0.22241211
92313424578206,1,-1.921875,-9.046875,-1.2373047
92313388699361,2,205.125,2.3984375,-323
92313383830592,3,0.48510742,1.4384766,0.22241211
92313434678206,1,-2.375,-8.890625,-0.60058594
92313398799361,2,204.25,2.0996094,-319
92313393930592,3,0.28710938,1.4560547,0.2479248
92313444778206,1,-2.7285156,-8.9296875,-0.89990234
92313408899361,2,204.25,2.0996094,-319
92313404030592,3,0.08618164,1.4511719,0.26904297
92313454878206,1,-2.6621094,-9.3046875,-1.2832031
92313418999361,2,204.125,1.5,-322.5
92313414130592,3,-0.08190918,1.4140625,0.29882812
92313464978206,1,-2.6425781,-9.71875,-0.75390625
92313429099361,2,204.125,1.5,-322.5
92313424230592,3,-0.14685059,1.40625,0.34692383
92313475078206,1,-2.8808594,-9.9609375,-0.0670166
92313439199361,2,204.875,1.1992188,-320.5
92313434330592,3,-0.07550049,1.4042969,0.36914062
92313485178206,1,-2.7910156,-10.09375,-0.5864258
92313449299361,2,205,0.89990234,-320.25
92313444430592,3,0.1595459,1.3798828,0.35107422
92313495278206,1,-2.3691406,-10.421875,-1.1943359
92313459399361,2,205,0.89990234,-320.25
92313454530592,3,0.5107422,1.3486328,0.3149414
92313505378206,1,-2.1425781,-10,-1.6777344
92313469499361,2,204,1.7998047,-320.25
92313464630592,3,0.7416992,1.3828125,0.29785156
92313515478206,1,-2.2285156,-9.2265625,-2.1152344
92313479599361,2,204,1.7998047,-320.25
92313474730592,3,0.74365234,1.4775391,0.28710938
92313525578206,1,-2.3867188,-8.4921875,-2.15625
92313489699361,2,203.5,1.5,-320
92313484830592,3,0.4489746,1.5722656,0.3149414
92313535678206,1,-3.0058594,-8.5078125,-0.33740234
92313499799361,2,203.5,1.5,-320
92313494930592,3,0.10748291,1.6298828,0.38623047
92313545778206,1,-3.6914062,-9.7578125,0.54541016
92313509899361,2,203.5,1.7998047,-318.75
92313505030592,3,0.031921387,1.5908203,0.40429688
92313555878206,1,-3.4472656,-11.3515625,0.19152832
92313519999361,2,203.5,1.7998047,-318.75
92313515130592,3,0.40112305,1.4277344,0.3479004
92313565978206,1,-2.7285156,-11.5234375,0.27514648
92313530099361,2,204.125,0.89990234,-317.5
92313525230592,3,0.9711914,1.2646484,0.28833008
92313576078206,1,-2.2226562,-9.9140625,0.21057129
92313540199361,2,204,1.1992188,-320.25
92313535330592,3,1.2998047,1.2070312,0.23510742
92313586178206,1,-1.9267578,-8.7421875,0.1005249
92313550299361,2,204,1.1992188,-320.25
92313545430592,3,1.2001953,1.1455078,0.15002441
92313596278206,1,-1.6152344,-8.671875,0.22973633
92313560399361,2,203.25,1.5,-320.25
92313555530592,3,0.7084961,1.0458984,0.09893799
92313606378206,1,-1.4882812,-8.9609375,0.17712402
92313570499361,2,203.25,1.5,-320.25
92313565630592,3,0.20214844,1.0029297,0.10211182
92313616478206,1,-1.5361328,-9.0390625,-0.004787445
92313580599361,2,204.125,2.0996094,-318.75
92313575730592,3,-0.15856934,0.9790039,0.117004395
92313626578206,1,-1.4667969,-9.015625,-0.49072266
92313590699361,2,204.125,2.0996094,-318.75
92313585830592,3,-0.38305664,0.97021484,0.16601562
92313636678206,1,-1.7021484,-9.3046875,-0.45483398
92313600799361,2,203.5,0.89990234,-318.75
92313595930592,3,-0.52001953,1.0058594,0.22766113
92313646778206,1,-2.4199219,-9.796875,0.23217773
92313610899361,2,203.5,0.89990234,-318.75
92313606030592,3,-0.52246094,1.0253906,0.28198242
92313656878206,1,-2.8847656,-10.6484375,-0.13879395
92313620999361,2,202.875,0.5996094,-316.75
92313616130592,3,-0.25317383,1.0058594,0.30859375
92313666978206,1,-2.8261719,-11.2109375,-0.6582031
92313631099361,2,202.875,0.5996094,-316.75
92313626230592,3,0.1829834,0.9663086,0.28930664
92313677078206,1,-2.6015625,-10.2421875,-1.1484375
92313641199361,2,203.5,0.5996094,-317
92313636330592,3,0.52001953,0.98535156,0.28393555
92313687178206,1,-2.5898438,-9.0546875,-1.2539062
92313651299361,2,202.875,0.2998047,-317.25
92313646430592,3,0.6542969,1.0380859,0.2734375
92313697278206,1,-2.5449219,-9.1875,-1.1875
92313661399361,2,202.875,0.2998047,-317.25
92313656530592,3,0.52978516,1.0371094,0.22241211
92313707378206,1,-2.5175781,-9.7578125,-0.86621094
92313671499361,2,202,0.2998047,-316.5
92313666630592,3,0.36499023,1.0332031,0.19470215
92313717478206,1,-2.5351562,-10.34375,-1.3183594
